epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,358.062,0.49491,0.37236,1.00173,0.99595,1,0.995,0.97181,0.30387,0.22488,0.86485,0.0004754,0.0004754,0.0004754
79,362.41,0.51757,0.4098,1.01312,0.99594,1,0.995,0.97181,0.29996,0.22019,0.86308,0.0004556,0.0004556,0.0004556
80,366.674,0.5134,0.39074,1.02426,0.99603,1,0.995,0.9621,0.30804,0.22029,0.86537,0.0004358,0.0004358,0.0004358
81,371,0.5201,0.41805,1.04809,0.99612,1,0.995,0.96173,0.31284,0.21811,0.86127,0.000416,0.000416,0.000416
82,375.272,0.50201,0.39659,0.98213,0.99619,1,0.995,0.94628,0.31174,0.21309,0.85329,0.0003962,0.0003962,0.0003962
83,379.569,0.50707,0.36787,0.98595,0.9961,1,0.995,0.9484,0.32158,0.22328,0.8539,0.0003764,0.0003764,0.0003764
84,383.789,0.46714,0.37236,0.94906,0.99607,1,0.995,0.94685,0.33152,0.23959,0.86256,0.0003566,0.0003566,0.0003566
85,388.003,0.48756,0.38377,0.94992,0.99642,1,0.995,0.93805,0.34368,0.29543,0.87954,0.0003368,0.0003368,0.0003368
86,392.177,0.45219,0.34749,0.95634,0.99666,1,0.995,0.96455,0.38853,0.30321,0.92887,0.000317,0.000317,0.000317
87,396.408,0.43157,0.35254,0.95042,0.99662,1,0.995,0.93037,0.42598,0.31268,0.9772,0.0002972,0.0002972,0.0002972
88,400.557,0.42223,0.3441,0.94858,0.99665,1,0.995,0.9536,0.39916,0.30186,0.97098,0.0002774,0.0002774,0.0002774
89,404.97,0.42126,0.37118,0.99116,0.9965,1,0.995,0.95783,0.41522,0.30558,0.98837,0.0002576,0.0002576,0.0002576
90,409.198,0.43954,0.34064,0.96403,0.99614,1,0.995,0.95675,0.42561,0.29912,0.99851,0.0002378,0.0002378,0.0002378
